tweet_time,tweet_id,username,tweet_text,source,favourite,retweet
2020-05-03 06:55:49,1256734167787646976,wadidur,"@bukalapak Ini dulu bukadompet ku diselesaikan, kenapa lama banget prosesnya",Twitter for Android,0,0
2020-05-03 06:53:09,1256733498020225024,Kurni_onee,Unistal Tokopedia Instal Bukalapak,Twitter for Android,0,0
2020-05-03 06:49:52,1256732672044396544,Nurullitarhy,"@yoelhien @GilangHamidy @underthebreach @tokopedia Sama nih, mana udah delete apk. Bukalapak, Canva, edmodo pun yg udah jarang bgt dipake",Twitter for Android,0,0
2020-05-03 06:49:14,1256732511356325889,Dewiutm,@rlthingy Kena di canva trs masa bukalapak juga:(,Twitter for Android,0,0
2020-05-03 06:43:16,1256731012156977152,etherealcellula,@welldanalirsyad @giovanismid Aku kena bukalapak juga.....,Twitter for Android,0,0
2020-05-03 06:42:03,1256730703389024256,achmadputra__,"@smooothies @underthebreach @tokopedia nggak ngaruh mbak, nggak ada tempat yang aman di internet. kemaren bukalapak, sekarang tokped besok siapa tau shopee. who knows?",Twitter for iPhone,0,0
2020-05-03 06:38:08,1256729716691570688,mosyansosmed,https://t.co/nvj7arEBTC  BL : https://t.co/2hXI70FHjE  FP : https://t.co/PjyZJIMbB2,twittbot.net,0,0
2020-05-03 06:37:56,1256729667605639174,awereweaceh,Saya mengajakmu bergabung ke Bukalapak dan memberikanmu Credits Rp10.000. Cek: https://t.co/Ir4G6UUeCD,twittbot.net,0,0
2020-05-03 06:34:32,1256728814484221952,melawatisan,Cara Ampuh Mengobati Asam Lambung AgaricproJika anda sdang menderita penyakit asam lambung segra obati dng Agaricpro https://t.co/CzFUivNmt0 … https://t.co/3genxotf6t,twittbot.net,0,0
2020-05-03 06:34:05,1256728699036069888,BukaBantuan,"@toserba_88 Sama-sama kak. Semoga kedepannya tidak ada terjadi kendala ya kak. Apabila ada pertanyaan atau kendala seputar Bukalapak, silakan hubungi Bella kembali ya kak ^SSR",Ivosights - Sociomile,0,0
2020-05-03 06:31:46,1256728114660438016,fakhrirch,@f_ajar55 @ronaldips Bukalapak ayeunamah,Twitter for Android,0,0
2020-05-03 06:28:28,1256727287094865922,dahahmaless,@syasyayayay @underthebreach Yg di leaked itu akun Bukalapak &amp; Ipusnas trnyta huhu  Klo bukalapak kterangannya encrypted pw,Twitter for Android,0,1
2020-05-03 06:26:36,1256726816816947201,chiymta,Bukalapak gak bisa tutup akun;) nasib banget ya,Twitter for Android,0,0
2020-05-03 06:26:07,1256726694297206785,antar_kabar,Identitas Peretas yang Klaim Bobol Bukalapak – CNN Indonesia https://t.co/JaCmM0tE6d https://t.co/3KiZpHgC54,WordPress.com,0,0
2020-05-03 06:26:07,1256726692544069635,antar_kabar,Identitas Peretas yang Klaim Bobol Bukalapak – CNN Indonesia https://t.co/jZRstfFG3k https://t.co/htpch83yGA,WordPress.com,0,0
2020-05-03 06:23:55,1256726141798215681,rowlinggold,Semangat untuk team #Tokopedia &amp; #Bukalapak. Semoga menemukan solusi dan tidak terjadi kembali data customer terjual $5000 USD 91JT Data.,Twitter for Android,1,1
2020-05-03 06:19:33,1256725043683287040,SeputarUMKM,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/cp7JSFOJiu https://t.co/xlqZ5aXYhU,dlvr.it,0,0
2020-05-03 06:19:33,1256725042345336832,kakaiidos,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/ydSmFpxgkN https://t.co/561dGmwzeC,dlvr.it,0,0
2020-05-03 06:19:33,1256725042114621440,pemain12,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/aDgIpsDCRC https://t.co/4c7a6OoYAs,dlvr.it,0,0
2020-05-03 06:19:32,1256725039002476545,Info_BolaIndo,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/eAYpoVvBFd,dlvr.it,0,0
2020-05-03 06:19:32,1256725038973124608,infobolame,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/gDv1gSdpje,dlvr.it,0,0
2020-05-03 06:19:32,1256725038960537601,DECARITAKOPINES,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/FuEQpzB2Y3,dlvr.it,0,0
2020-05-03 06:19:32,1256725038729850881,EvermoreShop,EMTEK Peduli Corona Salurkan 10.000 Paket Sembako Lewat Mitra Bukalapak https://t.co/A1sooVd7sM,dlvr.it,0,0
